,,,,,
,,,,,
,,,,,Gaming Policy and Enforcement Branch
,,,,,
"Gaming Grants Paid to Community Organizations - Final 2018/19 Year-End Report (by community) - April 1, 2018 to March 31, 2019",,,,,
,,,,,
"Generated: April 05, 2019",,,,,
"Report Period: April 1, 2018 to March 31, 2019 (Government fiscal year 2018/19)",,,,,
,,,,,
Description and Notes:,,,,,
"Community organizations may be eligible for government community gaming grants to support their programs and services. Payments for approved grants are made throughout each government fiscal year, and the timing of the payments depends on the grant category / sector.

- Unused grant funds that were returned during the fiscal year are shown at the end of this report.
- Some organizations receive grants in more than one category; therefore the number of unique organizations receiving grant payments is usually less than the number of grants paid.
- B.C. provincial electoral district information is determined by using postal codes with Elections BC data. Electoral district information in this report reflects information that was available at the time the report was generated, but may not be completely accurate due to address changes or postal code re-purposing by Canada Post.",,,,,
"++ Multiculturalism grants were a one-time grant available in government fiscal year 2012/13 offered and funded by the Ministry of Finance and Minister Responsible for Multiculturalism. These grants are not considered gaming grants, but are shown in this report because they were administered by the Gaming Policy and Enforcement Branch.

- Electoral districts are determined from the organization's physical or mailing address postal code. Mappings of postal codes to electoral districts are provided by Elections BC. Errors in determining an organization's electoral district may occur if the postal code is not correct due to data entry errors, Canada Post postal code changes, or outdated addresses.",,,,,
,,,,,
City,Organization Name,Grant Type ++,Grant Sector,Grant Subsector,Payment Amount
100 Mile House,100 Mile & District Minor Hockey Association,Community Gaming Grant,Sport,Sports for Youth,36400.00
100 Mile House,100 Mile Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,8520.00
100 Mile House,100 Mile House & District Figure Skating Club,Community Gaming Grant,Sport,Sports for Youth,13800.00
100 Mile House,100 Mile House & District Women's Centre Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,18500.00
100 Mile House,100 Mile House and District Soccer Association,Community Gaming Grant,Sport,Sports for Youth,20600.00
100 Mile House,100 Mile House Food Bank Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,95000.00
100 Mile House,100 Mile House Wranglers Junior B Hockey Club,Community Gaming Grant,Sport,Sports for Youth,15000.00
100 Mile House,Age Friendly Society of the South Cariboo,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,2500.00
100 Mile House,Cariboo Family Enrichment Centre Society,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,126850.00
100 Mile House,Educo School,Community Gaming Grant,Human and Social Services,Enhancement of Youth,72000.00
100 Mile House,Peter Skene Ogden Parent Advisory Council,PAC,DPAC and PAC,Parent Advisory Councils,13752.00
100 Mile House,South Cariboo Search & Rescue Society,Community Gaming Grant,Public Safety,Enhancement of Public Safety,25000.00
100 Mile House,West Coast Blind Curling Association,Community Gaming Grant,Sport,Sports for Disabled Persons,9000.00
108 Mile Ranch,100 Mile House & District Historical Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",20000.00
108 Mile Ranch,Mile 108 Elementary PAC,PAC,DPAC and PAC,Parent Advisory Councils,4632.00
150 Mile House,150 Mile House Elementary School PAC,PAC,DPAC and PAC,Parent Advisory Councils,4752.00
70 Mile House,Watch Lake North Green Lake Volunteer Fire Department,Community Gaming Grant,Public Safety,Enhancement of Public Safety,10000.00
Abbotsford,Abbotsford Agrifair,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",80000.00
Abbotsford,Abbotsford Alano Club Society,Community Gaming Grant,Human and Social Services,Public Community Facilities,78000.00
Abbotsford,Abbotsford Angels Hardball Association,Community Gaming Grant,Sport,Sports for Youth,44000.00
Abbotsford,Abbotsford Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,33500.00
Abbotsford,Abbotsford BMX Society,Community Gaming Grant,Sport,Sports for Youth,29500.00
Abbotsford,Abbotsford Community Services,Community Gaming Grant,Human and Social Services,Disadvantage Distress Poverty,183000.00
Abbotsford,Abbotsford Curling Club,Community Gaming Grant,Sport,Sports for Youth,6950.00
